term,category,confusable_with,domain,notes
नमस्ते,greeting,,general,"Hello — common opener"
धन्यवाद,greeting,,general,"Thank you"
ठीक है,particle,,general,"OK / fine — discourse marker"
अच्छा,particle,,general,"Good / ah — discourse particle"
भाई,address,,general,"Brother / dude — informal address"
यार,address,,general,"Friend / dude — informal address"
office,hinglish,,business,"English code-switch — workplace"
meeting,hinglish,,business,"English code-switch — meeting"
problem,hinglish,,general,"English code-switch — issue"
project,hinglish,,business,"English code-switch — project work"
खाना,noun,,food,"Food / meal"
पैसे,noun,,finance,"Money"
रुपये,noun,,finance,"Rupees — currency"
बिल,noun,,finance,"Bill / invoice"
दुकान,noun,,commerce,"Shop / store"
ट्रेन,noun,,logistics,"Train"
ऑटो,noun,,logistics,"Auto-rickshaw"
मोबाइल,noun,,tech,"Mobile phone"
कल,time,काल,general,"Yesterday/tomorrow vs काल (era/death) — tricky pair"
जल्दी,adverb,,general,"Quickly / soon"
