term,tone,confusable_with,domain,notes
妈,1,"麻(2),马(3),骂(4)",general,"Mother vs hemp vs horse vs scold — classic tonal minimal pair"
买,3,卖(4),commerce,"Buy vs sell"
是,4,十(2),general,"Is/yes vs ten"
四,4,十(2),numbers,"Four vs ten — common ASR confusion"
水,3,睡(4),general,"Water vs sleep"
问,4,闻(2),general,"Ask vs smell"
开会,1+4,,business,"Have a meeting"
报告,4+4,,business,"Report"
付款,4+3,,finance,"Make payment"
发票,1+4,,finance,"Invoice"
快递,4+4,,logistics,"Express delivery"
外卖,4+4,,food,"Food delivery"
微信,1+4,,tech,"WeChat"
支付宝,1+4+3,,finance,"Alipay"
打车,3+1,,logistics,"Hail a taxi / ride-hail"
登录,1+4,,tech,"Log in"
密码,4+3,,tech,"Password"
医院,1+4,,medical,"Hospital"
预约,4+1,,medical,"Appointment / reservation"
退款,4+3,,commerce,"Refund"
