term,category,example_position,notes
lah,particle,sentence-final,"Emphatic or softening: 'Can lah', 'Don't worry lah'"
lor,particle,sentence-final,"Resigned acceptance: 'Like that lor'"
leh,particle,sentence-final,"Mild assertion: 'Not bad leh'"
hor,particle,sentence-final,"Seeking agreement: 'This one nice hor'"
meh,particle,sentence-final,"Skeptical: 'Got meh?'"
sia,particle,sentence-final,"Surprise/emphasis: 'Damn good sia'"
arh,particle,sentence-final,"Confirmation seeking: 'You coming arh?'"
walao,exclamation,sentence-initial,"Exasperation: 'Walao eh, so expensive'"
alamak,exclamation,sentence-initial,"Surprise: 'Alamak, forgot already'"
shiok,adjective,mid-sentence,"Great/pleasurable: 'The food damn shiok'"
kiasu,adjective,mid-sentence,"Fear of losing out: 'So kiasu, queue since 5am'"
bojio,verb,any,"Didn't invite: 'Eh you all go makan bojio me'"
tapao,verb,mid-sentence,"Takeaway: 'Help me tapao chicken rice'"
chope,verb,mid-sentence,"Reserve: 'I chope the seat already'"
makan,verb,mid-sentence,"Eat: 'Let's go makan'"
jialat,adjective,any,"Terrible: 'This one very jialat'"
sian,adjective,any,"Bored/frustrated: 'So sian today'"
paiseh,adjective,any,"Embarrassed: 'Paiseh to ask'"
kaypoh,adjective,any,"Nosy: 'Don't so kaypoh lah'"
atas,adjective,any,"High-class/posh: 'This restaurant very atas'"
